benchmark,mode,sim_inst,sim_cycle,CPI,IPC,cpu_time_s,ns_per_cycle,il1_accesses,il1_hits,il1_misses,il1_amat_cycles,il1_amat_ns,dl1_accesses,dl1_hits,dl1_misses,dl1_amat_cycles,dl1_amat_ns,l2_accesses,l2_hits,l2_misses,dram_energy_j,il1_dyn_j,dl1_dyn_j,l2_dyn_j,il1_leak_j,dl1_leak_j,l2_leak_j,total_energy_j
test-math,baseline,213898,224443,1.0492991986834848,0.9530170243669885,8.97772e-05,0.4,256275,240170,16105,19.852794849282997,7.941117939713199,56923,56371,552,3.9091931205312442,1.5636772482124979,16718,15496,1222,2.444e-07,8.6789835225e-06,3.417429228e-06,5.88816319e-06,0,0,0,1.82289759405e-05
test-math,nextline,213898,169472,0.792302873332149,1.2621435989425982,6.77888e-05,0.4,504864,483501,21363,13.694309754706218,5.477723901882488,114044,113433,611,2.6072743853249625,1.042909754129985,44136,42723,1413,2.826e-07,1.70976737376e-05,6.846745584e-06,1.554491988e-05,0,0,0,3.9771939201600006e-05
test-math,oneblock,213898,167449,0.7828450943907844,1.2773919223166457,6.69796e-05,0.4,505266,480318,24948,15.812791678046812,6.3251166712187255,113978,113353,625,2.6450543087262455,1.0580217234904983,51362,49837,1525,3.05e-07,1.71112878294e-05,6.842783208e-06,1.8089953210000002e-05,0,0,0,4.2349024247400004e-05
test-fmath,baseline,53654,68469,1.2761210720542737,0.7836247060713608,2.7387600000000002e-05,0.4,63861,59522,4339,21.383332550382864,8.553333020153145,16449,15972,477,9.699616997993799,3.8798467991975194,4838,3971,867,1.734e-07,2.1627102399e-06,9.87532164e-07,1.7039677900000002e-06,0,0,0,5.0276101939e-06
test-fmath,nextline,53654,47520,0.8856748797852909,1.1290824915824915,1.9008e-05,0.4,125540,119754,5786,14.826668790823641,5.930667516329457,32946,32424,522,5.753232562374795,2.3012930249499184,12704,11685,1019,2.038e-07,4.251525086e-06,1.977946056e-06,4.4744123200000005e-06,0,0,0,1.0907683462e-05
test-fmath,oneblock,53654,45231,0.843012636522906,1.1862218390042227,1.80924e-05,0.4,126090,119534,6556,16.59838210801808,6.639352843207232,32992,32458,534,5.855722599418041,2.3422890397672163,14280,13149,1131,2.262e-07,4.270151331e-06,1.980707712e-06,5.029487400000001e-06,0,0,0,1.1506546443e-05
anagram,baseline,7958,14306,1.7976878612716762,0.5562700964630225,5.7224000000000005e-06,0.4,9545,9017,528,17.595075955997903,7.038030382399161,4202,3762,440,32.41361256544502,12.96544502617801,972,468,504,1.008e-07,3.232500155e-07,2.52271272e-07,3.4234326e-07,0,0,0,1.0186645475e-06
anagram,nextline,7958,8318,1.0452374968585072,0.9567203654724693,3.3272e-06,0.4,18816,18199,617,10.837372448979593,4.334948979591838,8434,7977,457,17.2556319658525,6.902252786341001,2166,1575,591,1.182e-07,6.372207744e-07,5.06343624e-07,7.6287603e-07,0,0,0,2.0246404284e-06
anagram,oneblock,7958,7287,0.9156823322442825,1.0920817894881296,2.9148e-06,0.4,18938,18249,689,11.914563311859753,4.7658253247439015,8434,7969,465,17.54019445103154,7.0160777804126155,2324,1670,654,1.308e-07,6.413524142e-07,5.06343624e-07,8.1852442e-07,0,0,0,2.0970204582e-06
test-llong,baseline,29837,31251,1.04739082347421,0.9547534478896675,1.25004e-05,0.4,33268,32291,977,9.810268125526031,3.9241072502104126,10260,9814,446,14.040935672514621,5.616374269005849,1432,898,534,1.068e-07,1.1266507612e-06,6.159693599999999e-07,5.0435756e-07,0,0,0,2.3537776811999998e-06
test-llong,nextline,29837,23478,0.7868753561014847,1.2708493057330266,9.3912e-06,0.4,66004,64742,1262,6.736015999030362,2.694406399612145,20542,20078,464,7.776360627008081,3.110544250803233,3476,2854,622,1.244e-07,2.2352848636e-06,1.233259512e-06,1.2242645800000001e-06,0,0,0,4.8172089556e-06
test-llong,oneblock,29837,22380,0.7500754097261789,1.3331992850759606,8.952e-06,0.4,66182,64742,1440,7.52745459490496,3.010981837961984,20546,20069,477,7.964859340017521,3.1859437360070086,3866,3178,688,1.3760000000000001e-07,2.2413129938e-06,1.233499656e-06,1.36162453e-06,0,0,0,4.9740371798e-06
